service_id,route_id,trip_id,direction_id,trip_headsign,block_id
WK,RED,WK_106898,1,Miyapur,WK_10301
WK,RED,WK_106900,1,Miyapur,WK_10501
WK,RED,WK_106901,1,Miyapur,WK_10601
WK,RED,WK_106902,1,Miyapur,WK_10701
WK,RED,WK_106903,1,Miyapur,WK_10801
WK,RED,WK_106905,1,Miyapur,WK_10401
WK,RED,WK_118561,1,Miyapur,WK_11001
WK,RED,WK_119018,1,Miyapur,WK_10301
WK,RED,WK_119019,0,L. B. Nagar,WK_12301
WK,RED,WK_119020,1,Miyapur,WK_12301
WK,RED,WK_119021,0,L. B. Nagar,WK_12801
WK,RED,WK_119023,0,L. B. Nagar,WK_12401
WK,RED,WK_119025,0,L. B. Nagar,WK_10501
WK,RED,WK_119026,1,Miyapur,WK_10501
WK,RED,WK_119027,0,L. B. Nagar,WK_12901
WK,RED,WK_119028,1,Miyapur,WK_12901
WK,RED,WK_119029,0,L. B. Nagar,WK_10601
WK,RED,WK_119030,1,Miyapur,WK_10601
WK,RED,WK_119031,0,L. B. Nagar,WK_11601
WK,RED,WK_119032,1,Miyapur,WK_11601
WK,RED,WK_119033,0,L. B. Nagar,WK_10701
WK,RED,WK_119034,1,Miyapur,WK_10701
WK,RED,WK_119035,0,L. B. Nagar,WK_10801
WK,RED,WK_119036,1,Miyapur,WK_10801
WK,RED,WK_119037,0,L. B. Nagar,WK_11801
WK,RED,WK_119038,1,Miyapur,WK_11801
WK,RED,WK_119039,0,L. B. Nagar,WK_11901
WK,RED,WK_119040,1,Miyapur,WK_11901
WK,RED,WK_119041,0,L. B. Nagar,WK_12601
WK,RED,WK_119042,1,Miyapur,WK_12601
WK,RED,WK_119043,0,L. B. Nagar,WK_11101
WK,RED,WK_119044,1,Miyapur,WK_11101
WK,RED,WK_119045,0,L. B. Nagar,WK_12101
WK,RED,WK_119081,0,L. B. Nagar,WK_10301
WK,RED,WK_119082,1,Miyapur,WK_10301
WK,RED,WK_119083,0,L. B. Nagar,WK_12301
WK,RED,WK_119084,1,Miyapur,WK_12301
WK,RED,WK_119085,0,L. B. Nagar,WK_12801
WK,RED,WK_119086,1,Miyapur,WK_12801
WK,RED,WK_119087,0,L. B. Nagar,WK_12901
WK,RED,WK_119088,1,Miyapur,WK_12901
WK,RED,WK_119093,0,L. B. Nagar,WK_11601
WK,RED,WK_119094,1,Miyapur,WK_11601
WK,RED,WK_119096,1,Miyapur,WK_11201
WK,RED,WK_119116,1,Miyapur,WK_12801
WK,RED,WK_119133,0,L. B. Nagar,WK_11201
WK,RED,WK_119135,1,Miyapur,WK_12101
WK,RED,WK_119138,0,L. B. Nagar,WK_12701
WK,RED,WK_119139,1,Miyapur,WK_12701
WK,BLUE,WK_119969,1,Nagole,WK_30201
WK,BLUE,WK_119972,0,Raidurg,WK_30401
WK,BLUE,WK_119973,1,Nagole,WK_30401
WK,BLUE,WK_119975,1,Nagole,WK_30501
WK,BLUE,WK_119976,0,Raidurg,WK_30601
WK,BLUE,WK_119977,1,Nagole,WK_30601
WK,BLUE,WK_119978,0,Raidurg,WK_30701
WK,BLUE,WK_119979,1,Nagole,WK_30701
WK,BLUE,WK_119981,1,Nagole,WK_30801
WK,BLUE,WK_119982,0,Raidurg,WK_30901
WK,BLUE,WK_119983,1,Nagole,WK_30901
WK,BLUE,WK_119986,0,Raidurg,WK_30801
WK,BLUE,WK_119988,1,Nagole,WK_30301
WK,BLUE,WK_119990,1,Nagole,WK_30101
WK,BLUE,WK_120065,0,Raidurg,WK_31001
WK,BLUE,WK_120066,1,Nagole,WK_31001
WK,BLUE,WK_120067,0,Raidurg,WK_31101
WK,BLUE,WK_120068,1,Nagole,WK_31101
WK,BLUE,WK_120069,0,Raidurg,WK_30101
WK,BLUE,WK_120070,1,Nagole,WK_30101
WK,BLUE,WK_120071,0,Raidurg,WK_31201
WK,BLUE,WK_120072,1,Nagole,WK_31201
WK,BLUE,WK_120073,0,Raidurg,WK_30201
WK,BLUE,WK_120074,1,Nagole,WK_30201
WK,BLUE,WK_120075,0,Raidurg,WK_30301
WK,BLUE,WK_120076,1,Nagole,WK_30301
WK,BLUE,WK_120077,0,Raidurg,WK_31301
WK,BLUE,WK_120078,1,Nagole,WK_31301
WK,BLUE,WK_120079,0,Raidurg,WK_30401
WK,BLUE,WK_120080,1,Nagole,WK_30401
WK,BLUE,WK_120081,0,Raidurg,WK_30501
WK,BLUE,WK_120082,1,Nagole,WK_30501
WK,BLUE,WK_121935,0,Raidurg,WK_31401
WK,BLUE,WK_121936,1,Nagole,WK_31401
WK,BLUE,WK_121943,0,Raidurg,WK_31601
WK,BLUE,WK_121944,1,Nagole,WK_31601
WK,BLUE,WK_121945,0,Raidurg,WK_30901
WK,BLUE,WK_121946,1,Nagole,WK_30901
WK,BLUE,WK_121947,0,Raidurg,WK_31001
WK,BLUE,WK_121948,1,Nagole,WK_31001
WK,BLUE,WK_121949,0,Raidurg,WK_31101
WK,BLUE,WK_121950,1,Nagole,WK_31101
WK,BLUE,WK_121952,1,Nagole,WK_30101
WK,BLUE,WK_121955,0,Raidurg,WK_31701
WK,BLUE,WK_121956,1,Nagole,WK_31701
WK,BLUE,WK_121959,0,Raidurg,WK_30301
WK,BLUE,WK_121960,1,Nagole,WK_30301
WK,BLUE,WK_121961,0,Raidurg,WK_31301
WK,BLUE,WK_121962,1,Nagole,WK_31301
WK,BLUE,WK_121963,0,Raidurg,WK_30401
WK,BLUE,WK_121964,1,Nagole,WK_30401
WK,BLUE,WK_121965,0,Raidurg,WK_30501
WK,BLUE,WK_121966,1,Nagole,WK_30501
WK,BLUE,WK_121967,0,Raidurg,WK_30601
WK,BLUE,WK_121968,1,Nagole,WK_30601
WK,BLUE,WK_121969,0,Raidurg,WK_31401
WK,BLUE,WK_121970,1,Nagole,WK_31401
WK,BLUE,WK_121971,0,Raidurg,WK_30701
WK,BLUE,WK_121972,1,Nagole,WK_30701
WK,BLUE,WK_121973,0,Raidurg,WK_31501
WK,BLUE,WK_121974,1,Nagole,WK_31501
WK,BLUE,WK_121975,0,Raidurg,WK_30801
WK,BLUE,WK_121976,1,Nagole,WK_30801
WK,BLUE,WK_121977,0,Raidurg,WK_31601
WK,BLUE,WK_121978,1,Nagole,WK_31601
WK,BLUE,WK_121979,0,Raidurg,WK_30901
WK,BLUE,WK_121980,1,Nagole,WK_30901
WK,BLUE,WK_121981,0,Raidurg,WK_31001
WK,BLUE,WK_121982,1,Nagole,WK_31001
WK,BLUE,WK_121983,0,Raidurg,WK_31101
WK,BLUE,WK_121984,1,Nagole,WK_31101
WK,BLUE,WK_121985,0,Raidurg,WK_30101
WK,BLUE,WK_121987,0,Raidurg,WK_31201
WK,BLUE,WK_121989,0,Raidurg,WK_31701
WK,BLUE,WK_121990,1,Nagole,WK_31701
WK,BLUE,WK_121991,0,Raidurg,WK_30201
WK,BLUE,WK_121992,1,Nagole,WK_30201
WK,BLUE,WK_121993,0,Raidurg,WK_30301
WK,BLUE,WK_121994,1,Nagole,WK_30301
WK,BLUE,WK_121995,0,Raidurg,WK_31301
WK,BLUE,WK_121996,1,Nagole,WK_31301
WK,BLUE,WK_121997,0,Raidurg,WK_30401
WK,BLUE,WK_121998,1,Nagole,WK_30401
WK,BLUE,WK_121999,0,Raidurg,WK_30501
